cycle number,Capacity/mA.h
0.0,36.77170271647176
1.0,35.63747188938019
2.0,34.56487744051866
3.0,33.85037605571448
4.0,33.37832429845177
5.0,32.96714772444066
6.0,32.73626916562738
7.0,32.58205807066349
8.0,32.41429666534978
9.0,32.23381829323368
10.0,32.13150095737159
11.0,32.00967843234378
12.0,31.87216769521331
13.0,31.75289530715434
14.0,31.7060366543117
15.0,31.68117195316524
16.0,31.56552006758919
17.0,31.45425408531401
18.0,31.36232693129769
19.0,31.29418619052295
20.0,31.24852871676632
21.0,31.21282347364128
22.0,31.13388305461208
23.0,31.04637503844915
24.0,31.02254868234975
25.0,31.01906202582761
26.0,30.96766676336544
27.0,30.89022812859635
28.0,30.82419341838496
29.0,30.81132040845278
30.0,30.76906348060396
31.0,30.72573653498971
32.0,30.7350419389924
33.0,30.63348942289099
34.0,30.57564375621374
35.0,30.56924487854976
36.0,30.54764810860488
37.0,30.52219882908036
38.0,30.48588799022077
39.0,30.39265797806002
40.0,30.38649457742653
41.0,30.36580911385219
42.0,30.3500148993882
43.0,30.28888845186448
44.0,30.30049282674327
45.0,30.2308513661558
46.0,30.24341072783832
47.0,30.1988817891744
48.0,30.21162789698068
49.0,30.16230312884091
50.0,30.15889500792821
51.0,30.10592472248883
52.0,30.0653167131568
53.0,30.02150806607352
54.0,30.00903740588378
55.0,29.99050821093626
56.0,29.96409596452332
57.0,29.91042051849619
58.0,29.85402317802939
59.0,29.85046995038137
60.0,29.83163142035924
61.0,29.80071071698846
62.0,29.80630100382738
63.0,29.75601808142043
64.0,29.70372626816096
65.0,29.66263124204469
66.0,29.62051833389286
67.0,29.68504847377018
68.0,29.667550134162
69.0,29.67855828091813
70.0,29.62392872895562
71.0,29.60210990142653
72.0,29.58326026601537
73.0,29.58806453337733
74.0,29.55809881810338
75.0,29.51864854300226
76.0,29.50513328969872
77.0,29.51701229106223
78.0,29.55075498054422
79.0,29.51203269830703
80.0,29.44575160417977
81.0,29.4255890718138
82.0,29.38392699279574
83.0,29.37071419593768
84.0,29.33960589169908
85.0,29.3930053895128
86.0,29.34808425395623
87.0,29.30225251457469
88.0,29.11516886835142
89.0,29.09339824838808
90.0,29.08581055460442
91.0,29.10206738609655
92.0,29.11889941616696
93.0,29.14332827748026
94.0,29.02919429773797
95.0,28.99254481210452
96.0,28.99988830692422
97.0,28.97437720190602
98.0,29.03468518579778
99.0,28.98304191255823
100.0,28.91846614522045
101.0,28.87473892064627
102.0,28.93277010869131
103.0,28.91105482319724
104.0,28.9184097195295
105.0,28.96362178158653
106.0,28.91334982847764
107.0,28.92132699160848
108.0,28.92249197400585
109.0,28.98838505366474
110.0,28.87151659940715
111.0,28.75882762361994
112.0,28.69937831115891
113.0,28.64556250707036
114.0,28.62263720963373
115.0,28.66045347001435
116.0,28.74053458039261
117.0,28.65482312340207
118.0,28.61655620703928
119.0,28.57191405641768
120.0,28.55212883711582
121.0,28.61814397943797
122.0,28.62661603589206
123.0,28.58611999804437
124.0,28.50506234624735
125.0,28.50339679880522
126.0,28.48674044747546
127.0,28.51953582528899
128.0,28.58240261441382
129.0,28.58159285867018
130.0,28.51329929146615
131.0,28.50286171673626
132.0,28.50801343445927
133.0,28.48180012459017
134.0,28.48440397876357
135.0,28.47225630726921
136.0,28.42863812746555
137.0,28.41686349241258
138.0,28.40304809964075
139.0,28.37068817525225
140.0,28.41210591801327
141.0,28.36727823264656
142.0,28.34879905269243
143.0,28.32843664706041
144.0,28.32330778417251
145.0,28.31350753205959
146.0,28.33865507391063
147.0,28.30912800657825
148.0,28.25136556242537
149.0,28.23495024006057
150.0,28.24336399959396
151.0,28.23469319485475
152.0,28.22612643853801
153.0,28.19257871661167
154.0,28.17204480821144
155.0,28.11110231369145
156.0,28.11517986747487
157.0,28.13131527624596
158.0,28.19675594798107
159.0,28.1843737095002
160.0,28.11749240999308
161.0,28.13266097149278
162.0,28.02904832670507
163.0,28.02666619276389
164.0,28.0314845203942
165.0,28.06430858220461
166.0,27.99706906914982
167.0,27.95771642688117
168.0,27.9222258072052
169.0,27.916379161015
170.0,27.9522585141008
171.0,27.94183404445098
172.0,27.87028859536318
173.0,27.82689051002841
174.0,27.78528172213831
175.0,27.75411166252054
176.0,27.89998966783437
177.0,27.86395784282346
178.0,27.78066352831392
179.0,27.77488194970451
180.0,27.73808568953583
181.0,27.72747613547215
182.0,27.80459320314533
183.0,27.79958310385429
184.0,27.72833135365596
185.0,27.67733768745419
186.0,27.66823668495476
187.0,27.70282779149328
188.0,27.82278383743833
189.0,27.85994039086622
190.0,27.80011813641232
191.0,27.75260235787836
192.0,27.7520589996151
193.0,27.7155718407585
194.0,27.79909324607004
195.0,27.78767769422701
196.0,27.55868549024623
197.0,27.50134457015653
198.0,27.38703986777587
199.0,27.29571738707691
200.0,27.46615036786396
201.0,27.49224010614612
