cycle number,Capacity/mA.h
0.0,40.47376752970841
1.0,39.74161147570033
2.0,39.17379528775749
3.0,38.65528398745055
4.0,38.22607119928745
5.0,37.87145258509397
6.0,37.59251943511919
7.0,37.36190744241255
8.0,37.19986944368488
9.0,37.19052658022572
10.0,37.07739414261921
11.0,36.88368448532995
12.0,36.717357590007
13.0,36.59977968142106
14.0,36.66618926946769
15.0,36.61086411532756
16.0,36.54638100313994
17.0,36.33752617789077
18.0,36.2246350940616
19.0,36.23457869504252
20.0,36.27027108594267
21.0,36.24041479217237
22.0,36.10664239612242
23.0,35.98212522217687
24.0,35.91291793986007
25.0,36.0307609624875
26.0,36.00744699095785
27.0,35.98432011171899
28.0,35.81164612836289
29.0,35.72768598229512
30.0,35.6542040372988
31.0,35.62121540420281
32.0,35.57282326111217
33.0,35.51669434998361
34.0,35.46749665498012
35.0,35.41944111454349
36.0,35.37657984818613
37.0,35.4283236356273
38.0,35.38378559901048
39.0,35.31178535626856
40.0,35.27679661860265
41.0,35.31014691805015
42.0,35.40695990223568
43.0,35.40902410933688
44.0,35.36947217963028
45.0,35.18052236209488
46.0,35.11956559767155
47.0,35.19459421096638
48.0,35.19698437861587
49.0,35.19098063744821
50.0,35.02784351547757
51.0,34.93449904093171
52.0,34.87565619967783
53.0,34.97722614871556
54.0,34.97313712961324
55.0,34.93844026114869
56.0,34.75487026565163
57.0,34.68350244969517
58.0,34.64527977709757
59.0,34.78701046485264
60.0,34.77623211796348
61.0,34.68769630928209
62.0,34.55703355593707
63.0,34.49965100375785
64.0,34.61965247390078
65.0,34.61020717609237
66.0,34.59666584924952
67.0,34.46576643826253
68.0,34.40389280124455
69.0,34.34646584011544
70.0,34.33038242374679
71.0,34.32636249293132
72.0,34.29674231457306
73.0,34.21106798052641
74.0,34.17711826702625
75.0,34.12275806865945
76.0,34.18007835286839
77.0,34.16113332845562
78.0,34.07373174287071
79.0,34.00636797501078
80.0,33.94027347255962
81.0,34.06709020755514
82.0,34.06583640677849
83.0,34.04285133337191
84.0,33.89384437974079
85.0,33.82987789982096
86.0,33.7865438771388
87.0,33.92258803536858
88.0,33.96245921530358
89.0,33.91859494902378
90.0,33.75750338047713
91.0,33.67991171548545
92.0,33.6348890655344
93.0,33.78832518254348
94.0,33.76784750071589
95.0,33.69954343127648
96.0,33.50200090813282
97.0,33.45793602049424
98.0,33.5137723136864
99.0,33.53520077916846
100.0,33.5327345019468
101.0,33.37626852663375
102.0,33.26068438951325
103.0,33.17337738613934
104.0,33.32144316080904
105.0,33.3112296002036
106.0,33.30518857686785
107.0,33.11000216239469
108.0,33.04688199755901
109.0,32.97824684869254
110.0,32.93396534984676
111.0,32.89887166008125
112.0,32.85306663145317
113.0,32.80703489804672
114.0,32.7334539043672
115.0,32.68134031435864
116.0,32.68864857048499
117.0,32.72045570399775
118.0,32.6484570318425
119.0,32.58965405536735
120.0,32.52301222122998
121.0,32.66622305864973
122.0,32.6988532042321
123.0,32.73228762912962
124.0,32.6435724494502
125.0,32.46152156532843
126.0,32.39148548569657
127.0,32.51916818451391
128.0,32.58236725051245
129.0,32.56737791125276
130.0,32.41632320493735
131.0,32.28180671665068
132.0,32.19617465577019
133.0,32.35413339511533
134.0,32.4036086762653
135.0,32.41264389506274
136.0,32.19930724281525
137.0,32.11455146320515
138.0,32.04681382703609
139.0,32.22602530145434
140.0,32.35701667967651
141.0,32.28244605962247
142.0,32.04891480624602
143.0,31.96107792311268
144.0,31.91122019114987
145.0,32.10658777509143
146.0,32.1689017015512
147.0,32.15735056859335
148.0,31.92556321624248
149.0,31.87201561491226
150.0,31.82755784445618
151.0,31.8782474014956
152.0,31.99590826131526
153.0,31.84475411881596
154.0,31.71867424457124
155.0,31.64521135464648
156.0,31.55057591175545
157.0,31.60953395734277
158.0,31.58791789119384
159.0,31.47968897097181
160.0,31.37955017180294
161.0,31.31314992952817
162.0,31.48355011154088
163.0,31.48882041850662
164.0,31.54634128626974
165.0,31.46110194883726
166.0,31.27480509732309
167.0,31.20275261104668
168.0,31.24755014635386
169.0,31.35091879109064
170.0,31.33202252981058
171.0,31.26067781554073
172.0,31.07767423228283
173.0,31.05681130546019
174.0,31.09778470749491
175.0,31.2352734889255
176.0,31.22957802223032
177.0,31.0851353190443
178.0,30.92484300944475
179.0,30.83761128236264
180.0,30.92513689685692
181.0,31.04529680696779
182.0,31.03222651897221
183.0,30.90312462084495
184.0,30.75194792514585
185.0,30.67939873975118
186.0,30.78744639410995
187.0,30.81818019296731
188.0,30.82216469935187
189.0,30.68209347805871
190.0,30.54901102879883
191.0,30.46555295437708
192.0,30.40185690494964
193.0,30.42561380847889
194.0,30.42380454844371
195.0,30.29779581838102
196.0,30.21637088984172
197.0,30.13971279114869
198.0,30.08154582917568
199.0,30.12989286890373
200.0,30.1105673319342
